input_weights_mean,input_weights_var,output_weights_mean,output_weights_var,bias,pre_activation_mean,post_activation_mean,input_weight_grads_mean,input_weight_grads_var,output_weight_grads_mean,output_weight_grads_var,pre_activation_grad_mean,post_activation_grad_mean,neuron_idx,input_weights_mean_pct,input_weights_var_pct,output_weights_mean_pct,output_weights_var_pct,bias_pct,pre_activation_mean_pct,post_activation_mean_pct,input_weight_grads_mean_pct,input_weight_grads_var_pct,output_weight_grads_mean_pct,output_weight_grads_var_pct,pre_activation_grad_mean_pct,post_activation_grad_mean_pct,regime_name,starting_width,init_id,delta_test_loss_at_h0,delta_test_loss_at_h1,delta_test_loss_at_h2,delta_test_loss_at_h3,delta_test_loss_at_h4,delta_test_loss_at_h5,delta_test_loss_at_h6,delta_test_loss_at_h7,delta_test_loss_at_h8,delta_test_loss_at_h9,delta_test_loss_at_h10,delta_test_loss_at_h11,delta_test_loss_at_h12,delta_test_loss_at_h13,delta_test_loss_at_h14,delta_test_loss_at_h15,delta_test_loss_at_h16,delta_test_loss_at_h17,delta_test_loss_at_h18,delta_test_loss_at_h19,delta_test_loss_at_h20,delta_test_loss_at_h21,delta_test_loss_at_h22,delta_test_loss_at_h23,delta_test_loss_at_h24,delta_test_loss_at_h25,delta_test_loss_at_h26,delta_test_loss_at_h27,delta_test_loss_at_h28,delta_test_loss_at_h29,delta_test_loss_at_h30,delta_test_loss_at_h31,delta_test_loss_at_h32,delta_test_loss_at_h33,delta_test_loss_at_h34,delta_test_loss_at_h35,delta_test_loss_at_h36,delta_test_loss_at_h37,delta_test_loss_at_h38,delta_test_loss_at_h39,delta_test_loss_at_h40,delta_test_loss_at_h41,delta_test_loss_at_h42,delta_test_loss_at_h43,delta_test_loss_at_h44,delta_test_loss_at_h45,delta_test_loss_at_h46,delta_test_loss_at_h47,delta_test_loss_at_h48,delta_test_loss_at_h49
-1.0394474267959595,4.6359333992004395,-7.402578830718994,0.0,6.984199523925781,7.9574737548828125,10.572195053100586,,,,,-0.3638121783733368,-0.3425028920173645,0,0.0,0.75,0.0,0.0,0.75,0.75,0.75,,,,,0.25,0.0,UP,4,0,-6.408344726562518,-11.886870605468744,-16.641552734374955,-20.792743652343802,-24.437531250000006,-27.65534765625,-30.5099545898438,-33.05401269531251,-35.33065039062501,-37.37545556640623,-39.217143554687595,-40.88035449218751,-42.385905761718845,-43.750834472656265,-44.99003613281252,-46.115753906250006,-47.13903222656256,-48.06938281249995,-48.91509277343755,-49.68428759765618,-50.38198486328122,-51.01517626953125,-51.58891259765619,-52.107533203124945,-52.576262695312494,-52.997818847656276,-53.37635253906251,-53.71577685546879,-54.018791503906186,-54.287923339843815,-54.52614404296878,-54.73599023437498,-54.920108398437606,-55.07980322265621,-55.21850927734374,-55.3367368164063,-55.43780322265627,-55.522660156250026,-55.593149902343725,-55.651047851562566,-55.69752246093742,-55.73441845703121,-55.76274853515622,-55.783757324218755,-55.79845605468745,-55.80815283203117,-55.813881347656206,-55.81686865234383,-55.81921435546883,-55.819388183593674
0.5321048498153687,1.3752402067184448,5.1659650802612305,0.0,3.864516496658325,3.5594029426574707,5.214395523071289,,,,,-0.5021784901618958,-0.16872605681419373,1,0.25,0.0,0.75,0.0,0.25,0.25,0.25,,,,,0.0,0.0,UP,4,1,-4.022485839843739,-7.607521972656286,-10.822094726562455,-13.716310546874979,-16.32994091796877,-18.698225585937394,-20.849655761718736,-22.808053710937543,-24.594018066406193,-26.225781250000068,-27.71709228515624,-29.082025390625063,-30.332377441406265,-31.478146972656305,-32.52825585937501,-33.49054101562501,-34.3716298828125,-35.17820703124994,-35.916051269531295,-36.59052441406254,-37.205558105468754,-37.76612841796873,-38.275993652343686,-38.73868896484373,-39.15819921875004,-39.53648339843744,-39.877206054687576,-40.183566406250065,-40.45754199218743,-40.701080078125074,-40.91714160156255,-41.10753759765623,-41.27482519531259,-41.420098144531266,-41.54631933593748,-41.654032714843765,-41.7460458984375,-41.823112304687584,-41.88711523437496,-41.93948046875005,-41.9817924804687,-42.01530273437493,-42.040625976562524,-42.059776855468726,-42.07323437499997,-42.08220312499998,-42.087456054687436,-42.090065917968786,-42.09209228515624,-42.09225976562493
0.6110049486160278,1.6191399097442627,5.082069396972656,0.0,3.6085009574890137,2.805908679962158,4.896583080291748,,,,,0.15535962581634521,0.0021896064281463623,2,0.5,0.25,0.5,0.0,0.0,0.0,0.0,,,,,0.75,0.5,UP,4,2,-4.029268554687519,-7.620522460937536,-10.83975244140629,-13.736576660156288,-16.352237304687492,-18.72182666015624,-20.873813964843748,-22.832050292968802,-24.61765820312496,-26.248996582031282,-27.74054980468759,-29.105116699218797,-30.35517138671878,-31.50029541015624,-32.54983691406255,-33.511594238281305,-34.392657226562505,-35.19871044921865,-35.936477050781264,-36.610993164062506,-37.22601513671873,-37.786471679687565,-38.29640039062497,-38.758696777343744,-39.17809521484378,-39.556776855468684,-39.897677734375065,-40.20389208984375,-40.47770507812493,-40.721480957031304,-40.937508300781246,-41.12799218750001,-41.29530029296882,-41.44041210937496,-41.56664648437504,-41.67420019531255,-41.766196289062464,-41.84329394531255,-41.907195312499994,-41.959816894531286,-42.001952148437454,-42.035636230468754,-42.0609799804688,-42.08011035156244,-42.093541503906295,-42.1024052734374,-42.1077739257812,-42.11031494140627,-42.11244775390628,-42.11246679687497
0.6556140184402466,1.772565245628357,4.790701866149902,0.0,4.118892192840576,3.6106812953948975,5.6374688148498535,,,,,-0.23850023746490479,0.0010495483875274658,3,0.75,0.5,0.25,0.0,0.5,0.5,0.5,,,,,0.25,0.5,UP,4,3,-4.0328339843749745,-7.626308105468752,-10.84703076171877,-13.74491162109382,-16.361008300781236,-18.730585937499995,-20.88217919921874,-22.840086914062567,-24.625478027343775,-26.256138183593748,-27.746898437500022,-29.110508789062578,-30.359955566406256,-31.504437011718778,-32.55326708984376,-33.514210937500025,-34.394761230468816,-35.20005029296874,-35.9372197265626,-36.611294921875015,-37.22530712890625,-37.78537011718754,-38.29492529296874,-38.75689892578123,-39.176125488281286,-39.554351074218744,-39.894912109375014,-40.20067431640632,-40.47443603515626,-40.718076171875055,-40.933859863281214,-41.1238940429688,-41.291179199218845,-41.436238281249985,-41.562300781249974,-41.66970312500007,-41.761643066406236,-41.83870361328127,-41.902575195312465,-41.95499218750001,-41.99702441406248,-42.03055517578116,-42.05588964843753,-42.07479199218744,-42.08831982421873,-42.09727636718742,-42.1025869140625,-42.105191894531345,-42.10725634765629,-42.10737353515617
0.673091471195221,1.87375807762146,4.775622844696045,0.0,3.9817042350769043,3.3688032627105713,5.531564712524414,,,,,0.21518200635910034,0.2073926031589508,0,0.75,0.5,0.25,0.0,0.25,0.0,0.5,,,,,0.75,0.25,UP,4,0,-4.155234375000077,-7.803694824218837,-11.083139160156179,-14.042788574218775,-16.723382324218846,-19.158720214843697,-21.375937499999964,-23.399407226562516,-25.248150390624915,-26.939700683593742,-28.489002441406228,-29.90962451171879,-31.211270019531185,-32.40507080078123,-33.500290527343736,-34.504698730468704,-35.42509033203123,-36.26820166015625,-37.039191894531314,-37.74453125000002,-38.38782128906257,-38.97452148437503,-39.50759521484372,-39.991917968750045,-40.43031494140632,-40.826403320312465,-41.18318408203129,-41.50340576171868,-41.78968603515625,-42.044306640624995,-42.270361816406194,-42.46972998046874,-42.644524414062516,-42.79699072265623,-42.928654785156255,-43.04134375000001,-43.13757177734374,-43.21814501953122,-43.285079101562474,-43.33962255859376,-43.38368066406258,-43.41877343750002,-43.4453603515625,-43.465422851562494,-43.47970214843758,-43.489436035156245,-43.49561669921877,-43.497996582031305,-43.500319335937434,-43.500437988281305
0.6262753009796143,1.706446886062622,4.882906913757324,0.0,4.032688140869141,3.40017032623291,5.401259422302246,,,,,-0.1333552896976471,0.006593942642211914,1,0.5,0.25,0.5,0.0,0.5,0.25,0.25,,,,,0.25,0.5,UP,4,1,-4.159491210937517,-7.81423193359376,-11.099931640624959,-14.064823242187572,-16.749160644531344,-19.18748486328127,-21.40690576171869,-23.43198925781246,-25.28143505859373,-26.972909667968793,-28.522263183593736,-29.94235986328124,-31.243498046874947,-32.436581542968725,-33.53105566406248,-34.534922363281225,-35.45421044921875,-36.29611376953119,-37.06659179687506,-37.770968750000065,-38.41344140625006,-38.99925390625003,-39.53149804687496,-40.01530615234378,-40.45309277343756,-40.84816748046876,-41.204371582031285,-41.524062011718684,-41.80955908203123,-42.063622558593806,-42.28952587890615,-42.488657714843725,-42.66326123046872,-42.815476562500066,-42.946745605468664,-43.059493164062474,-43.15553124999997,-43.23612207031249,-43.30262207031251,-43.3571704101563,-43.40102734375,-43.43611376953129,-43.46277001953126,-43.48270458984382,-43.49697265625002,-43.50666162109371,-43.51281103515623,-43.51522070312501,-43.517547851562426,-43.51755712890622
0.5177751779556274,1.308103322982788,5.161375522613525,0.0,3.910983085632324,3.6615958213806152,5.212880611419678,,,,,-0.4172099828720093,0.0018086731433868408,2,0.25,0.0,0.75,0.0,0.0,0.5,0.0,,,,,0.0,0.75,UP,4,2,-4.174046875000045,-7.842184082031281,-11.13776367187495,-14.109918945312529,-16.799598144531274,-19.2415366210937,-21.46281982421874,-23.488825683593745,-25.338596191406168,-27.029869628906226,-28.578828124999973,-29.99757568359371,-31.297352539062445,-32.4893657226562,-33.582226562499955,-34.58445898437492,-35.502179199218745,-36.34282666015622,-37.11166259765628,-37.814857421875104,-38.456319335937565,-39.041175292968774,-39.57241992187494,-40.05522558593748,-40.4921396484375,-40.88613867187496,-41.241458007812525,-41.560536132812445,-41.84539599609377,-42.099047851562545,-42.32437255859372,-42.52309765625,-42.69688623046875,-42.848709960937526,-42.979848144531275,-43.09197216796872,-43.187746582031195,-43.26793798828123,-43.334340332031275,-43.38870703125008,-43.432311523437534,-43.46732128906251,-43.49380371093753,-43.513728515625075,-43.527976562500044,-43.537497558593714,-43.54366894531256,-43.54607861328134,-43.54833398437495,-43.548466796875005
-0.9803268313407898,4.124407768249512,-7.718478202819824,0.0,7.015550136566162,7.940938949584961,10.284940719604492,,,,,0.09882444143295288,-0.004633605480194092,3,0.0,0.75,0.0,0.0,0.75,0.75,0.75,,,,,0.5,0.0,UP,4,3,-6.540081542968778,-12.095500976562562,-16.929312988281254,-21.161883300781255,-24.888958984374995,-28.188815429687452,-31.12393359374994,-33.747357421874995,-36.099738281249984,-38.216502441406305,-40.12713916015616,-41.85578906249998,-43.4217817382812,-44.84337451171871,-46.13515673828124,-47.30991308593741,-48.378409179687424,-49.350598144531205,-50.23414111328134,-51.037941894531286,-51.767777832031356,-52.43036669921878,-53.029677734375014,-53.57235595703128,-54.06192236328127,-54.502342773437476,-54.8985258789063,-55.253739257812526,-55.5697905273438,-55.85089550781254,-56.100042968749904,-56.319564453125054,-56.51170166015618,-56.67928173828125,-56.824086425781275,-56.947842773437515,-57.05355957031247,-57.14228759765615,-57.21598925781245,-57.276362792968825,-57.32442822265625,-57.36283105468749,-57.39238574218746,-57.414227539062495,-57.43000781249998,-57.440527832031194,-57.447289062499976,-57.45046044921878,-57.4531801757812,-57.453328613281315
-0.5548217296600342,1.5628821849822998,-5.030844688415527,0.0,3.2838680744171143,3.8482816219329834,5.561230182647705,,,,,-0.9515685439109802,-0.2898433208465576,0,0.25,0.25,0.25,0.0,0.5,0.25,0.25,,,,,0.5,0.25,UP,4,0,-4.7994946289062455,-9.306697265624962,-13.337240722656247,-16.93010546875007,-20.131989257812506,-22.987506347656222,-25.535948242187487,-27.810134277343764,-29.84194677734365,-31.657171875000017,-33.27972949218747,-34.73123876953116,-36.02927832031253,-37.190394531250035,-38.22891748046868,-39.158549316406265,-39.98977490234381,-40.732538574218665,-41.396193847656264,-41.98846728515616,-42.516556152343696,-42.98683349609371,-43.40495117187504,-43.77590332031252,-44.10501562500008,-44.395617187499965,-44.651488769531284,-44.87615527343746,-45.072331542968755,-45.24323291015628,-45.39118310546871,-45.51867138671878,-45.628000976562475,-45.72062060546875,-45.79910644531253,-45.86427099609375,-45.91817089843744,-45.962296386718776,-45.99814599609374,-46.02637304687494,-46.04834912109379,-46.06532470703121,-46.077655273437585,-46.08624316406258,-46.091666503906254,-46.09547412109373,-46.09776513671875,-46.09859082031244,-46.099581542968735,-46.09983642578129
-0.5705848932266235,1.6848236322402954,-4.918770790100098,0.0,3.2679038047790527,3.7784276008605957,5.629023551940918,,,,,-1.0610970258712769,-0.6703227758407593,1,0.0,0.5,0.5,0.0,0.25,0.0,0.5,,,,,0.25,0.5,UP,4,1,-4.827951171875043,-9.369602539062498,-13.427562011718805,-17.041554687500025,-20.260211914062552,-23.128037109374986,-25.685681152343705,-27.966562011718793,-30.002322753906242,-31.820105957031274,-33.44404003906254,-34.89549804687499,-36.19313281250004,-37.353154296875005,-38.39100097656251,-39.318564453124964,-40.148114746093825,-40.8889975585937,-41.550498046874964,-42.140808593749966,-42.6669443359375,-43.135129394531305,-43.55174804687499,-43.92081250000001,-44.248120605468785,-44.53698876953126,-44.791892089843714,-45.014469726562425,-45.20927734374993,-45.378705078124995,-45.52541503906252,-45.652058593749985,-45.760971679687486,-45.85289355468751,-45.930579589843774,-45.995137207031235,-46.048804199218694,-46.09236523437505,-46.12772216796873,-46.155659667968735,-46.17738671874997,-46.19407324218753,-46.206189453125035,-46.21469580078133,-46.22001757812495,-46.22359375000008,-46.225983398437506,-46.22680078124995,-46.2276684570312,-46.227915527343725
