regime_name,metric,h,n_repeats_succeeded,n_inits_median,r_mean,r_median,r_abs_median,pval_mean,ci_lo_median,ci_hi_median,sig_share,W,agg,base_metric,is_temporal
OP,tmp8__std__in_g_l2,8,50.0,5.0,0.3805419146364953,0.47214654443357146,0.5863144282177759,0.429308957841899,-0.5658088512639623,0.9556992228006157,0.26,8.0,std,in_g_l2,True
OP,tmp2__mean__in_g_l2,8,50.0,5.0,-0.22043687743316348,-0.3916363362364247,0.5207269212276491,0.4082102704558215,-0.9319976656229481,0.6950705249157347,0.32,2.0,mean,in_g_l2,True
NE,tmp8__std__in_g_l2,8,50.0,5.0,-0.03152872790650156,-0.08672251375864673,0.5157368547710772,0.43780735439478013,-0.857904344932169,0.7960065729482497,0.34,8.0,std,in_g_l2,True
NE,activation_mean,8,50.0,5.0,-0.30831215565744,-0.41571099630236963,0.5092074475579116,0.4137985084392459,-0.9163208382373339,0.49711429868993756,0.36,,,activation_mean,False
UP,tmp8__std__in_g_l2,8,50.0,5.0,-0.27779082020890544,-0.38853690758069215,0.5044064462134759,0.4390067172214892,-0.9350727066454609,0.7439466736548013,0.3,8.0,std,in_g_l2,True
OP,weight_norm,8,50.0,5.0,0.22476934860890083,0.29554252531249964,0.42309678239750276,0.451635991137311,-0.7542499783484344,0.9216800725850276,0.26,,,weight_norm,False
UP,activation_mean,8,50.0,5.0,0.07601140160788684,0.052982293007484624,0.38842254817870103,0.5441984997715168,-0.8330321627268364,0.8332900545158296,0.16,,,activation_mean,False
OP,activation_mean,8,50.0,5.0,-0.03960040083987933,-0.12054692007000277,0.3798167286702078,0.4749699683690784,-0.807612536507956,0.7273156400401808,0.24,,,activation_mean,False
NE,tmp2__mean__in_g_l2,8,50.0,5.0,-0.17820025926777525,-0.1672504473207196,0.37542100758551206,0.5432261049519269,-0.9237696916768983,0.7017674342055551,0.12,2.0,mean,in_g_l2,True
UP,tmp2__mean__in_g_l2,8,50.0,5.0,0.17351405906086778,0.24049556774657155,0.36933602459899084,0.5028257307547807,-0.8061026000940381,0.8468747113215225,0.22,2.0,mean,in_g_l2,True
UP,weight_norm,8,50.0,5.0,0.11894041983213216,0.19043345077458987,0.31452097662515893,0.5686160116322828,-0.7341462939015644,0.8351507186287292,0.22,,,weight_norm,False
NE,weight_norm,8,50.0,5.0,0.09388898583738485,0.018731138686984485,0.24000466164963102,0.6354858866326601,-0.7167688025529755,0.8803725419263746,0.18,,,weight_norm,False
