regime_name,metric,h,n_repeats_succeeded,n_inits_median,r_mean,r_median,r_abs_median,pval_mean,ci_lo_median,ci_hi_median,sig_share,W,agg,base_metric,is_temporal
NE,tmp2__mean__in_g_l2,50,50.0,5.0,0.10307129999160627,0.24064787561898116,0.5041053554676208,0.4623636676773127,-0.8129509716847312,0.8851678253119142,0.22,2.0,mean,in_g_l2,True
NE,tmp8__std__in_g_l2,50,50.0,5.0,0.1471101511932875,0.25892349652302404,0.4658087471995745,0.42639509415871557,-0.5760304876728939,0.9099351172635869,0.3,8.0,std,in_g_l2,True
OP,tmp8__std__in_g_l2,50,50.0,5.0,-0.3639597056795347,-0.3849660396618316,0.43906529742820677,0.4599776604298378,-0.9432634051626885,0.6970610673522764,0.26,8.0,std,in_g_l2,True
NE,weight_norm,50,50.0,5.0,0.11446147384258851,0.22181957203119468,0.4076561033552928,0.49700702934297103,-0.7989643744054331,0.8561529905085501,0.24,,,weight_norm,False
OP,weight_norm,50,50.0,5.0,-0.21779041720631878,-0.21662704123463325,0.3850125244807191,0.5320108206344686,-0.9350598966337801,0.6885485956582491,0.2,,,weight_norm,False
UP,tmp2__mean__in_g_l2,50,50.0,5.0,0.11353744452873409,0.17027873760808598,0.3763168182712695,0.5057011275362122,-0.7199388708794188,0.8768488021795515,0.3,2.0,mean,in_g_l2,True
NE,activation_mean,50,50.0,5.0,0.14306972400031864,0.13536701483566654,0.37554545331357314,0.49899193154199023,-0.7807035964814573,0.895183939619025,0.22,,,activation_mean,False
OP,tmp2__mean__in_g_l2,50,50.0,5.0,0.17646878343993028,0.26739399150127063,0.3745581978177467,0.5553052399865274,-0.753751503730579,0.9010711848975588,0.08,2.0,mean,in_g_l2,True
UP,weight_norm,50,50.0,5.0,0.005290854090622256,0.015123526259405565,0.3614514040838483,0.549966277951512,-0.7675546059880431,0.8691753558614617,0.14,,,weight_norm,False
UP,tmp8__std__in_g_l2,50,50.0,5.0,0.1917804307119814,0.17016493244422068,0.3523812002829675,0.5514420661051173,-0.6330498266143487,0.8981076977401736,0.14,8.0,std,in_g_l2,True
UP,activation_mean,50,50.0,5.0,0.0076491142958121545,0.01868680502502844,0.30247980027965504,0.5880841106881464,-0.8211909304793605,0.8234556914573941,0.12,,,activation_mean,False
OP,activation_mean,50,50.0,5.0,-0.17770877566459556,-0.2084286517801674,0.280200795195229,0.5879282260273793,-0.8942986618909468,0.754605851189015,0.12,,,activation_mean,False
