regime_name,metric,h,n_repeats_succeeded,n_inits_median,r_mean,r_median,r_abs_median,pval_mean,ci_lo_median,ci_hi_median,sig_share,W,agg,base_metric,is_temporal
UP,tmp8__std__in_g_l2,32,50.0,5.0,-0.09516742146653595,-0.2646139785403596,0.5621335018531342,0.4025302806198503,-0.9068182772364759,0.767431274872431,0.4,8.0,std,in_g_l2,True
NE,tmp8__std__in_g_l2,32,50.0,5.0,-0.39555778330123237,-0.5320868078389485,0.5522496668952688,0.3672650628503645,-0.9561438157747955,0.5422202915291043,0.3,8.0,std,in_g_l2,True
NE,activation_mean,32,50.0,5.0,-0.2100859427900722,-0.26025361800743874,0.4485279682171945,0.4777551508350668,-0.9303081015637886,0.5413699542824498,0.36,,,activation_mean,False
OP,tmp2__mean__in_g_l2,32,50.0,5.0,-0.2221661157436212,-0.32048770171385255,0.42490504655761274,0.46099609171463596,-0.9183262480171517,0.606077852406038,0.32,2.0,mean,in_g_l2,True
OP,weight_norm,32,50.0,5.0,-0.010353554201292092,-0.12892922445006116,0.4141371461764209,0.5142590165093437,-0.8613132669685157,0.8215531173271327,0.14,,,weight_norm,False
NE,weight_norm,32,50.0,5.0,0.2595544650268039,0.257482544724508,0.4070912778191462,0.536131999557682,-0.7448107685684335,0.9421192365721338,0.24,,,weight_norm,False
OP,tmp8__std__in_g_l2,32,50.0,5.0,0.06082375849362607,0.05268532032668542,0.4049205543032815,0.5340105761783893,-0.793314744780323,0.8520555693678293,0.16,8.0,std,in_g_l2,True
OP,activation_mean,32,50.0,5.0,0.019097580006404113,-0.0009074818616328639,0.3986924985173495,0.5087378032037099,-0.8063915745872834,0.835785036395128,0.32,,,activation_mean,False
NE,tmp2__mean__in_g_l2,32,50.0,5.0,-0.07073924985581784,-0.13805394601768575,0.35915722294216146,0.5510026457273244,-0.8987668876374763,0.8426644662081054,0.08,2.0,mean,in_g_l2,True
UP,tmp2__mean__in_g_l2,32,50.0,5.0,0.16196041993933163,0.186847426872265,0.3549911824163253,0.5598094966952064,-0.7276966912818325,0.9169336559842369,0.16,2.0,mean,in_g_l2,True
UP,weight_norm,32,50.0,5.0,-0.14664597751086839,-0.19881848858170775,0.3079260580723388,0.5528126206758615,-0.8984474442637107,0.6273021385953612,0.26,,,weight_norm,False
UP,activation_mean,32,50.0,5.0,0.026038836466000633,0.05061156302711675,0.2579491574483389,0.6050720545773411,-0.7791990775954791,0.857761744344024,0.1,,,activation_mean,False
