regime_name,metric,h,n_repeats_succeeded,n_inits_median,r_mean,r_median,r_abs_median,pval_mean,ci_lo_median,ci_hi_median,sig_share,W,agg,base_metric,is_temporal
UP,activation_mean,2,50.0,5.0,-0.675086415125253,-0.7450992435250849,0.7450992435250849,0.22497115305939047,-0.9712438339198604,-0.3141724720521959,0.6,,,activation_mean,False
NE,activation_mean,2,50.0,5.0,0.36404951760614584,0.5023546081927606,0.5460809133008055,0.38945597927968045,-0.4091781581720481,0.9569271489297984,0.4,,,activation_mean,False
OP,activation_mean,2,50.0,5.0,0.13826927625637514,0.2785255144683768,0.535926550240678,0.4033156969363212,-0.8307938795631027,0.9010091973356256,0.22,,,activation_mean,False
OP,tmp2__mean__in_g_l2,2,50.0,5.0,-0.2585106838022451,-0.32871492572352473,0.47728965166218285,0.4620256622329596,-0.9192041987386719,0.6883999270404721,0.32,2.0,mean,in_g_l2,True
OP,weight_norm,2,50.0,5.0,0.351370395498043,0.41029401335077376,0.461498493886392,0.467474096714406,-0.4398512596974709,0.9404086716486302,0.2,,,weight_norm,False
UP,tmp2__mean__in_g_l2,2,50.0,5.0,-0.18696390056905993,-0.31334392344491163,0.4376185228457108,0.517764887350037,-0.8818898648336277,0.681592197464721,0.3,2.0,mean,in_g_l2,True
UP,tmp8__std__in_g_l2,2,50.0,5.0,-0.11022324171187386,-0.14423502949501574,0.4277913219074874,0.4944551440671356,-0.8725650541008051,0.8382070603333923,0.22,8.0,std,in_g_l2,True
UP,weight_norm,2,50.0,5.0,-0.3017630060079334,-0.3691956688302748,0.40927960342802044,0.5046963750179543,-0.9301461336477005,0.5761229773299315,0.36,,,weight_norm,False
NE,tmp8__std__in_g_l2,2,50.0,5.0,0.1748837732298356,0.181838114072914,0.3938289503329258,0.5240279158581242,-0.602593521515872,0.9014817947564089,0.24,8.0,std,in_g_l2,True
NE,tmp2__mean__in_g_l2,2,50.0,5.0,0.34142328270887534,0.38038875977061737,0.39221386646404244,0.511423257786655,-0.3475881630986122,0.938499662243847,0.26,2.0,mean,in_g_l2,True
NE,weight_norm,2,50.0,5.0,0.17763494697948748,0.2899477695753606,0.3571988483227542,0.5232502664837826,-0.6436606313991547,0.9117751533901661,0.24,,,weight_norm,False
OP,tmp8__std__in_g_l2,2,50.0,5.0,-0.07802054998685251,-0.08621190005786569,0.3052026689608625,0.5557389062170077,-0.8176076408549784,0.781837290141091,0.24,8.0,std,in_g_l2,True
