regime_name,metric,h,n_repeats_succeeded,n_inits_median,r_mean,r_median,r_abs_median,pval_mean,ci_lo_median,ci_hi_median,sig_share,W,agg,base_metric,is_temporal
NE,activation_mean,1,50.0,5.0,0.1363614648754013,0.18981643468753323,0.3303867402570876,0.5720407306859207,-0.6847626412225924,0.9072323918761638,0.28,,,activation_mean,False
NE,activation_mean,2,50.0,5.0,0.36404951760614584,0.5023546081927606,0.5460809133008055,0.38945597927968045,-0.4091781581720481,0.9569271489297984,0.4,,,activation_mean,False
NE,activation_mean,4,50.0,5.0,0.10554128572753302,0.22438275598436724,0.4077991697299038,0.49891866500606774,-0.6355352505891949,0.8861413091120754,0.28,,,activation_mean,False
NE,activation_mean,8,50.0,5.0,-0.30831215565744,-0.41571099630236963,0.5092074475579116,0.4137985084392459,-0.9163208382373339,0.49711429868993756,0.36,,,activation_mean,False
NE,activation_mean,16,50.0,5.0,-0.21115043149472038,-0.2008652480493621,0.3619607542466483,0.5648605164533719,-0.88306961852391,0.70680600756673,0.2,,,activation_mean,False
NE,activation_mean,32,50.0,5.0,-0.2100859427900722,-0.26025361800743874,0.4485279682171945,0.4777551508350668,-0.9303081015637886,0.5413699542824498,0.36,,,activation_mean,False
NE,activation_mean,50,50.0,5.0,0.14306972400031864,0.13536701483566654,0.37554545331357314,0.49899193154199023,-0.7807035964814573,0.895183939619025,0.22,,,activation_mean,False
NE,tmp2__mean__in_g_l2,1,50.0,5.0,-0.05353712573293629,0.07145879741652693,0.5566750080380183,0.4275187990045811,-0.8483959389362333,0.8272960648302141,0.4,2.0,mean,in_g_l2,True
NE,tmp2__mean__in_g_l2,2,50.0,5.0,0.34142328270887534,0.38038875977061737,0.39221386646404244,0.511423257786655,-0.3475881630986122,0.938499662243847,0.26,2.0,mean,in_g_l2,True
NE,tmp2__mean__in_g_l2,4,50.0,5.0,0.1654221741414797,0.18312004789060443,0.4283922710024251,0.4777211379007259,-0.6833055731672685,0.8949019751055561,0.22,2.0,mean,in_g_l2,True
NE,tmp2__mean__in_g_l2,8,50.0,5.0,-0.17820025926777525,-0.1672504473207196,0.37542100758551206,0.5432261049519269,-0.9237696916768983,0.7017674342055551,0.12,2.0,mean,in_g_l2,True
NE,tmp2__mean__in_g_l2,16,50.0,5.0,-0.07322035702582953,-0.15604448004621094,0.3751796582586087,0.5330256476121731,-0.8709009460579439,0.8211303238372517,0.2,2.0,mean,in_g_l2,True
