regime_name,metric,h,n_repeats_succeeded,n_inits_median,r_mean,r_median,r_abs_median,pval_mean,ci_lo_median,ci_hi_median,sig_share,W,agg,base_metric,is_temporal
NE,tmp8__std__in_g_l2,16,50.0,5.0,-0.2860017560118093,-0.3554187142876593,0.5023659383885949,0.4779869635735345,-0.9382512352125938,0.6803498083925128,0.22,8.0,std,in_g_l2,True
UP,weight_norm,16,50.0,5.0,-0.17706835774014432,-0.300823052517998,0.4625873365401828,0.46953954770858375,-0.9413422128886756,0.7617695518248582,0.24,,,weight_norm,False
NE,weight_norm,16,50.0,5.0,0.3257405393984065,0.39306263707254363,0.4516186202913748,0.507324841780216,-0.5017297118323859,0.9412964771791077,0.28,,,weight_norm,False
UP,tmp2__mean__in_g_l2,16,50.0,5.0,0.013565642005455616,0.032893339760027764,0.4318756807730476,0.5084018605438703,-0.8167083100992172,0.8649699277338185,0.16,2.0,mean,in_g_l2,True
NE,tmp2__mean__in_g_l2,16,50.0,5.0,-0.07322035702582953,-0.15604448004621094,0.3751796582586087,0.5330256476121731,-0.8709009460579439,0.8211303238372517,0.2,2.0,mean,in_g_l2,True
OP,weight_norm,16,50.0,5.0,0.043628917787159285,0.009669284850112269,0.369430036319522,0.5150895288699622,-0.7940681295007714,0.7630510077512745,0.22,,,weight_norm,False
OP,tmp2__mean__in_g_l2,16,50.0,5.0,-0.0649955741898518,-0.16339823824500926,0.3683392857423847,0.5199374628271505,-0.828189798387611,0.8481457229547149,0.2,2.0,mean,in_g_l2,True
UP,tmp8__std__in_g_l2,16,50.0,5.0,0.01433790963700696,-0.09986728588446186,0.3648939027221028,0.5080652640287049,-0.9196504596784064,0.7878027321640724,0.1,8.0,std,in_g_l2,True
OP,activation_mean,16,50.0,5.0,-0.023635915710597758,-0.08869369139787668,0.36346519323250204,0.5295973520499014,-0.8509037217011386,0.8191974933406271,0.16,,,activation_mean,False
NE,activation_mean,16,50.0,5.0,-0.21115043149472038,-0.2008652480493621,0.3619607542466483,0.5648605164533719,-0.88306961852391,0.70680600756673,0.2,,,activation_mean,False
UP,activation_mean,16,50.0,5.0,-0.06778134944801056,-0.05827694371202405,0.3422865950149569,0.5793563849664036,-0.7880530954936942,0.8315737072067863,0.16,,,activation_mean,False
OP,tmp8__std__in_g_l2,16,50.0,5.0,0.16849498747905145,0.14376365924507112,0.21362247747830024,0.628714554050112,-0.50844766014354,0.8597239646610983,0.18,8.0,std,in_g_l2,True
