regime_name,metric,h,n_repeats_succeeded,n_inits_median,r_mean,r_median,r_abs_median,pval_mean,ci_lo_median,ci_hi_median,sig_share,W,agg,base_metric,is_temporal
OP,tmp2__mean__in_g_l2,1,50.0,5.0,0.43801556299444383,0.5819770296353461,0.6330799469919275,0.35524938862582517,-0.27954063091040837,0.959912033162525,0.46,2.0,mean,in_g_l2,True
NE,tmp2__mean__in_g_l2,1,50.0,5.0,-0.05353712573293629,0.07145879741652693,0.5566750080380183,0.4275187990045811,-0.8483959389362333,0.8272960648302141,0.4,2.0,mean,in_g_l2,True
UP,activation_mean,1,50.0,5.0,-0.37658568660075675,-0.4886221926217086,0.5368515728505961,0.4109071945934473,-0.9505896765260807,0.4674474316455635,0.38,,,activation_mean,False
UP,tmp2__mean__in_g_l2,1,50.0,5.0,0.07715246610693832,0.1826422870462876,0.47354496777587773,0.4411428683221694,-0.7904908359467915,0.9219173541867027,0.16,2.0,mean,in_g_l2,True
UP,tmp8__std__in_g_l2,1,50.0,5.0,-0.04560344292632592,-0.08330913241509424,0.4684258125637756,0.44790412401597607,-0.8726746329142026,0.8417803634451557,0.2,8.0,std,in_g_l2,True
UP,weight_norm,1,50.0,5.0,-0.1738256202976316,-0.32192386570157105,0.39477140345240314,0.5073535849113331,-0.9195468641613286,0.7033163281533129,0.16,,,weight_norm,False
OP,activation_mean,1,50.0,5.0,-0.016823101835193296,0.010928301061638057,0.3819199717969185,0.5529082054798358,-0.8611086648824275,0.8320454265945663,0.18,,,activation_mean,False
NE,weight_norm,1,50.0,5.0,0.04885880290575199,0.12284365507598764,0.37553430991670905,0.5086868668390974,-0.8518241064075321,0.8809083521980942,0.2,,,weight_norm,False
OP,tmp8__std__in_g_l2,1,50.0,5.0,0.19004040734839672,0.2755288548601073,0.36788761138239395,0.5397462854377341,-0.6221458958066768,0.9097510478325509,0.18,8.0,std,in_g_l2,True
NE,activation_mean,1,50.0,5.0,0.1363614648754013,0.18981643468753323,0.3303867402570876,0.5720407306859207,-0.6847626412225924,0.9072323918761638,0.28,,,activation_mean,False
NE,tmp8__std__in_g_l2,1,50.0,5.0,-0.09506608140716985,-0.20392032371148847,0.31355051892124314,0.5995393238860082,-0.8640900953133996,0.7706548854118034,0.08,8.0,std,in_g_l2,True
OP,weight_norm,1,50.0,5.0,-0.20057306556900126,-0.22667307402471526,0.31312777706564277,0.5593484834781344,-0.8931613144309376,0.6517937697759693,0.2,,,weight_norm,False
