input_weights_mean,input_weights_var,output_weights_mean,output_weights_var,bias,pre_activation_mean,post_activation_mean,input_weight_grads_mean,input_weight_grads_var,output_weight_grads_mean,output_weight_grads_var,pre_activation_grad_mean,post_activation_grad_mean,neuron_idx,input_weights_mean_pct,input_weights_var_pct,output_weights_mean_pct,output_weights_var_pct,bias_pct,pre_activation_mean_pct,post_activation_mean_pct,input_weight_grads_mean_pct,input_weight_grads_var_pct,output_weight_grads_mean_pct,output_weight_grads_var_pct,pre_activation_grad_mean_pct,post_activation_grad_mean_pct,best_test_loss,control_best_test_loss,delta_best_test_loss
-0.5143017768859863,1.4259629249572754,-3.471717596054077,0.0,2.633646011352539,3.194139242172241,4.885878562927246,,,,,0.14253202080726624,-0.0470547080039978,0,0.125,0.625,0.375,0.0,0.25,0.25,0.5,,,,,0.625,0.375,406.25235961914063,468.72898095703124,-62.476621337890606
-0.49524837732315063,1.1979200839996338,-3.4444785118103027,0.0,2.9092671871185303,2.9968361854553223,4.711836814880371,,,,,-0.17524898052215576,-0.008695274591445923,1,0.25,0.375,0.5,0.0,0.375,0.375,0.375,,,,,0.0,0.5,406.5846899414062,468.72898095703124,-62.144291015625015
-0.3945627212524414,0.8756911158561707,-3.7537291049957275,0.0,2.93623423576355,3.1187832355499268,4.31696081161499,,,,,0.05442094802856445,-0.012842506170272827,2,0.5,0.0,0.0,0.0,0.5,0.625,0.0,,,,,0.5,0.0,406.45032934570315,468.72898095703124,-62.27865161132809
0.7593846321105957,1.9230918884277344,4.431485652923584,0.0,4.087098121643066,3.4113001823425293,5.790903091430664,,,,,0.32590001821517944,0.009923338890075684,3,0.875,0.75,0.625,0.0,0.75,0.875,0.875,,,,,0.875,0.625,406.39841381835936,468.72898095703124,-62.33056713867188
-0.5330182313919067,1.1193500757217407,-3.600736141204834,0.0,2.4967501163482666,2.7886672019958496,4.469578742980957,,,,,-0.10130515694618225,-0.023191064596176147,4,0.0,0.125,0.25,0.0,0.0,0.0,0.125,,,,,0.125,0.25,406.4540869140625,468.72898095703124,-62.274894042968754
0.5140053033828735,1.4244048595428467,4.760887622833252,0.0,4.129786014556885,3.2434983253479004,5.069400310516357,,,,,-0.05176609754562378,0.011896669864654541,5,0.625,0.5,0.875,0.0,0.875,0.75,0.625,,,,,0.125,0.875,406.45755297851565,468.72898095703124,-62.27142797851559
0.682693600654602,2.0298399925231934,4.464871406555176,0.0,4.0617995262146,3.071286678314209,5.3954010009765625,,,,,0.32268601655960083,0.024346232414245605,6,0.75,0.875,0.75,0.0,0.625,0.5,0.75,,,,,0.75,0.75,406.3694609375,468.72898095703124,-62.35952001953126
-0.48610544204711914,1.1789872646331787,-3.681077718734741,0.0,2.554460048675537,2.9434802532196045,4.559009075164795,,,,,0.012978076934814453,-0.026377201080322266,7,0.375,0.25,0.125,0.0,0.125,0.125,0.25,,,,,0.375,0.125,406.4429147949219,468.72898095703124,-62.286066162109364
-0.4369902014732361,0.8562518954277039,-3.3249475955963135,0.0,2.5222930908203125,2.939253568649292,4.2511725425720215,,,,,-0.09970840811729431,0.09871053695678711,0,0.375,0.25,0.5,0.0,0.5,0.5,0.625,,,,,0.25,0.375,422.6447915039063,492.7527287597656,-70.10793725585933
0.8340404629707336,2.6934783458709717,5.291409492492676,0.0,5.293732166290283,4.391612529754639,6.979966163635254,,,,,0.1333937644958496,-0.2334347367286682,1,0.875,0.75,0.75,0.0,0.875,0.875,0.875,,,,,0.5,0.125,421.97893139648437,492.7527287597656,-70.77379736328123
0.818690299987793,2.71309232711792,5.384713649749756,0.0,5.0858283042907715,3.961103677749634,6.52470064163208,,,,,-0.049223899841308594,-0.2028225064277649,2,0.75,0.875,0.875,0.0,0.75,0.75,0.75,,,,,0.25,0.0,421.81364990234374,492.7527287597656,-70.93907885742186
-0.4641380310058594,1.0185787677764893,-3.529433250427246,0.0,1.8816026449203491,2.179335117340088,3.8975987434387207,,,,,-0.2643684148788452,0.13144510984420776,3,0.25,0.375,0.125,0.0,0.25,0.25,0.375,,,,,0.0,0.75,422.48404345703125,492.7527287597656,-70.26868530273435
-0.48797622323036194,1.2505491971969604,-3.258744239807129,0.0,1.8126955032348633,1.983318567276001,3.8925061225891113,,,,,0.29194268584251404,0.14815586805343628,4,0.0,0.625,0.625,0.0,0.125,0.125,0.25,,,,,0.875,0.375,422.30478588867186,492.7527287597656,-70.44794287109374
-0.4768972396850586,1.134536862373352,-3.4235711097717285,0.0,1.6878653764724731,1.9162120819091797,3.768512487411499,,,,,0.2683953046798706,0.15817946195602417,5,0.125,0.5,0.375,0.0,0.0,0.125,0.125,,,,,0.875,0.5,422.2194987792969,492.7527287597656,-70.53322998046872
-0.42909154295921326,0.7728399038314819,-3.5250256061553955,0.0,2.2817511558532715,2.4724619388580322,3.747222661972046,,,,,0.18069526553153992,0.15953147411346436,6,0.5,0.125,0.25,0.0,0.375,0.375,0.0,,,,,0.625,0.625,422.6689931640625,492.7527287597656,-70.0837355957031
-0.2871968448162079,0.6888298988342285,-3.6334218978881836,0.0,2.9147589206695557,3.300025463104248,4.285437107086182,,,,,-0.05239993333816528,0.16059544682502747,7,0.625,0.0,0.0,0.0,0.625,0.625,0.625,,,,,0.25,0.875,422.53723291015626,492.7527287597656,-70.21549584960934
-0.43879252672195435,0.940323531627655,-3.3168909549713135,0.0,1.3711886405944824,1.8178002834320068,3.446479320526123,,,,,0.20706981420516968,0.34902244806289673,0,0.125,0.75,0.5,0.0,0.125,0.125,0.375,,,,,0.875,0.375,599.6918029785156,757.1294106445313,-157.43760766601565
